species,y,x
Rusa unicolor,14.465305,101.243969
Rusa unicolor,14.462758,101.303709
Rusa unicolor,14.520767,101.395607
Rusa unicolor,14.428851,101.215199
Rusa unicolor,14.54284,101.218911
Rusa unicolor,14.478028,101.375046
Rusa unicolor,15.787177,99.334655
Rusa unicolor,14.413029,101.227562
Rusa unicolor,14.588382,101.38723
Rusa unicolor,14.450579,101.27473
Rusa unicolor,15.517159,99.338336
Rusa unicolor,14.433427,101.289474
Rusa unicolor,14.381284,101.261325
Rusa unicolor,14.458857,101.240939
Rusa unicolor,15.659388,99.256507
Rusa unicolor,14.406989,101.37056
Rusa unicolor,14.434276,101.375145
Rusa unicolor,14.431011,101.324339
Rusa unicolor,14.574056,101.202725
Rusa unicolor,14.251989,101.557185
Rusa unicolor,15.744843,99.337277
Rusa unicolor,14.258566,101.589648
Rusa unicolor,14.453989,101.393719
Rusa unicolor,15.700494,99.207201
Rusa unicolor,14.406989,101.37056
Rusa unicolor,14.434276,101.375145
Rusa unicolor,14.433101,101.400461
Rusa unicolor,14.409518,101.371241
Rusa unicolor,14.427769,101.271343
Rusa unicolor,14.595386,101.245681
Rusa unicolor,14.450487,101.388848
Rusa unicolor,16.965199,101.693139
Rusa unicolor,14.423835,101.346094
Rusa unicolor,14.468486,101.283277
Rusa unicolor,14.398714,101.519305
Rusa unicolor,14.565211,101.35945
Rusa unicolor,14.32734,101.400375
Rusa unicolor,14.405229,101.371807
Rusa unicolor,14.584581,101.290552
Rusa unicolor,14.457289,101.235383
Rusa unicolor,14.493223,101.236855
Rusa unicolor,14.486989,101.340313
Rusa unicolor,14.21826,101.547275
Rusa unicolor,14.589697,101.27217
Rusa unicolor,14.506907,101.3171
Rusa unicolor,14.307501,101.533594
Rusa unicolor,14.523804,101.320337
Rusa unicolor,14.464882,101.293953
Rusa unicolor,14.966358,102.177956
Rusa unicolor,14.464015,101.232094
Rusa unicolor,12.602751,99.496376
Rusa unicolor,14.241343,101.542418
Rusa unicolor,14.453713,101.203303
Rusa unicolor,16.598122,101.61622
Rusa unicolor,14.422271,101.371217
Rusa unicolor,14.420745,101.371068
Rusa unicolor,14.415488,101.371311
Rusa unicolor,9.001514,98.703747
Rusa unicolor,14.479958,101.323359
Rusa unicolor,14.401843,101.224376
Rusa unicolor,14.51718,101.319578
Rusa unicolor,14.569977,101.358763
Rusa unicolor,14.437688,101.372203
Rusa unicolor,12.720204,100.857703
Rusa unicolor,14.55146,101.249607
Rusa unicolor,14.537965,101.323241
Rusa unicolor,14.449199,101.349253
Rusa unicolor,7.507798,100.166632
Rusa unicolor,15.385979,100.268285
Rusa unicolor,14.524243,101.278282
Rusa unicolor,14.415428,101.30061
Rusa unicolor,14.538118,101.205212
Rusa unicolor,14.590526,101.252529
Rusa unicolor,14.518042,101.364362
Rusa unicolor,14.588758,101.286053
Rusa unicolor,16.97002,101.622576
Rusa unicolor,14.540796,101.396057
Rusa unicolor,14.269705,101.547002
Rusa unicolor,14.264523,101.216041
Rusa unicolor,14.558633,101.31179
Rusa unicolor,14.435355,101.251661
Rusa unicolor,14.500677,101.226587
Rusa unicolor,14.464523,101.337554
Rusa unicolor,14.475866,101.252903
Rusa unicolor,14.557683,101.311049
Rusa unicolor,16.838181,101.971383
Rusa unicolor,16.820679,101.887184
Rusa unicolor,17.365305,101.57942
Rusa unicolor,14.595736,101.397912
Rusa unicolor,14.313112,101.425738
Rusa unicolor,12.789559,100.872804
Rusa unicolor,16.344657,101.519612
Rusa unicolor,14.476548,101.230764
Rusa unicolor,14.592321,101.334894
Rusa unicolor,14.546142,101.355449
Rusa unicolor,14.448623,101.28783
Rusa unicolor,14.472585,101.236657
Rusa unicolor,14.501902,101.214766
Rusa unicolor,14.323624,102.150936
Rusa unicolor,14.815097,102.077153
Rusa unicolor,14.403799,101.212976
Rusa unicolor,16.278865,101.553067
Rusa unicolor,14.51924,101.370871
Rusa unicolor,14.438547,101.371803
Rusa unicolor,14.43947,101.372078
Rusa unicolor,12.793388,99.77354
Rusa unicolor,14.339381,101.534881
Rusa unicolor,14.561365,101.302244
Rusa unicolor,15.533912,99.326161
Rusa unicolor,14.552562,101.356936
Rusa unicolor,14.362207,101.40694
Rusa unicolor,14.455798,101.224208
Rusa unicolor,14.566448,101.283233
Rusa unicolor,14.432321,101.313712
Rusa unicolor,14.228369,101.221276
Rusa unicolor,10.566189,99.122653
Rusa unicolor,9.032903,98.604922
Rusa unicolor,9.031111,98.628456
Rusa unicolor,12.859643,99.454452
Rusa unicolor,14.308494,101.439891
Rusa unicolor,14.335861,101.514872
Rusa unicolor,14.355385,101.430922
Rusa unicolor,16.045006,99.272705
Rusa unicolor,14.248396,101.448637
Rusa unicolor,14.542523,101.340067
Rusa unicolor,14.57604,101.36094
Rusa unicolor,14.488019,101.363917
Rusa unicolor,14.462515,101.23572
Rusa unicolor,14.433369,101.378955
Rusa unicolor,14.597833,101.231844
Rusa unicolor,14.413594,101.280983
Rusa unicolor,14.423693,101.340719
Rusa unicolor,7.906633,99.711746
Rusa unicolor,14.559993,101.382103
Rusa unicolor,14.402761,101.25356
Rusa unicolor,14.497416,101.242449
Rusa unicolor,14.507264,101.266364
Rusa unicolor,14.579197,101.314154
Rusa unicolor,14.458193,101.312369
Rusa unicolor,14.44449,101.354487
Rusa unicolor,14.410259,101.293873
Rusa unicolor,14.41386,101.309181
Rusa unicolor,14.435674,101.343558
Rusa unicolor,13.60883,100.646083
Rusa unicolor,14.498296,101.284107
Rusa unicolor,14.192209,101.079687
Rusa unicolor,14.388761,101.461031
Rusa unicolor,14.525574,101.295815
Rusa unicolor,14.503837,101.371763
Rusa unicolor,14.568387,101.381919
Rusa unicolor,14.407602,101.243838
Rusa unicolor,14.411792,101.528897
Rusa unicolor,14.452119,101.511402
Rusa unicolor,14.410717,101.373859
Rusa unicolor,14.425861,101.161315
Rusa unicolor,14.410717,101.373859
Rusa unicolor,14.453431,101.37248
Rusa unicolor,14.462735,101.36824
Rusa unicolor,16.247803,101.418827
