species,y,x
Lynx canadensis,57.547467,-155.786183
Lynx canadensis,58.36348,-155.43163
Lynx canadensis,58.382764,-155.386786
Lynx canadensis,58.441514,-155.6052
Lynx canadensis,58.519747,-155.72805
Lynx canadensis,58.547183,-155.791565
Lynx canadensis,58.55165,-155.795483
Lynx canadensis,58.552083,-155.782267
Lynx canadensis,58.5539,-155.7834
Lynx canadensis,58.568517,-155.823
Lynx canadensis,58.669998,-156.639999
Lynx canadensis,58.696,-156.697183
Lynx canadensis,58.698846,-156.66722
Lynx canadensis,58.900002,-136.949997
Lynx canadensis,59.377639,-136.005783
Lynx canadensis,59.46228,-135.333878
Lynx canadensis,59.464497,-135.334913
Lynx canadensis,59.478162,-135.346813
Lynx canadensis,59.48608,-135.283017
Lynx canadensis,59.680502,-151.472054
Lynx canadensis,60.16,-149.660004
Lynx canadensis,60.18,-149.600006
Lynx canadensis,60.459045,-150.282578
Lynx canadensis,60.460111,-149.988467
Lynx canadensis,60.477563,-150.329499
Lynx canadensis,60.485253,-149.954103
Lynx canadensis,60.49423,-150.140624
Lynx canadensis,60.55375,-149.882155
Lynx canadensis,60.553762,-149.88205
Lynx canadensis,60.987325,-149.542708
Lynx canadensis,61.004007,-149.77927
Lynx canadensis,61.022135,-149.753915
Lynx canadensis,61.033234,-149.67596
Lynx canadensis,61.049202,-149.749227
Lynx canadensis,61.055501,-149.738739
Lynx canadensis,61.061381,-149.668779
Lynx canadensis,61.064007,-149.74431
Lynx canadensis,61.070261,-149.712622
Lynx canadensis,61.081951,-146.316882
Lynx canadensis,61.086979,-149.693997
Lynx canadensis,61.093377,-149.65557
Lynx canadensis,61.095562,-149.775139
Lynx canadensis,61.100408,-149.717809
Lynx canadensis,61.110947,-149.686783
Lynx canadensis,61.114775,-149.60645
Lynx canadensis,61.119841,-149.649027
Lynx canadensis,61.150877,-149.703624
Lynx canadensis,61.151972,-149.626331
Lynx canadensis,61.15839,-150.033961
Lynx canadensis,61.161561,-149.709472
Lynx canadensis,61.164946,-149.633428
Lynx canadensis,61.167181,-149.605232
Lynx canadensis,61.17121,-150.028321
Lynx canadensis,61.175,-150.041944
Lynx canadensis,61.17523,-149.782173
Lynx canadensis,61.176097,-149.632747
Lynx canadensis,61.178487,-150.036101
Lynx canadensis,61.18889,-149.65602
Lynx canadensis,61.189319,-149.660969
Lynx canadensis,61.198394,-149.61031
Lynx canadensis,61.264063,-149.336815
Lynx canadensis,61.29376,-149.778226
Lynx canadensis,61.307586,-149.499943
Lynx canadensis,61.416763,-148.879428
Lynx canadensis,61.428791,-148.974836
Lynx canadensis,61.433588,-148.870457
Lynx canadensis,61.44396,-148.90397
Lynx canadensis,61.456674,-148.874286
Lynx canadensis,61.462997,-148.885128
Lynx canadensis,61.467733,-148.857521
Lynx canadensis,61.469005,-148.872598
Lynx canadensis,61.470184,-148.871096
Lynx canadensis,61.472759,-148.853376
Lynx canadensis,61.475442,-148.951254
Lynx canadensis,61.475988,-149.232976
Lynx canadensis,61.480657,-148.996282
Lynx canadensis,61.481559,-148.7083
Lynx canadensis,61.497098,-148.988496
Lynx canadensis,61.524369,-148.951043
Lynx canadensis,61.528208,-148.883254
Lynx canadensis,61.535523,-148.91146
Lynx canadensis,61.539491,-148.867644
Lynx canadensis,61.543736,-148.833587
Lynx canadensis,61.54632,-148.934387
Lynx canadensis,61.564931,-148.857851
Lynx canadensis,61.575489,-148.907172
Lynx canadensis,61.58164,-148.915249
Lynx canadensis,61.594735,-148.978762
Lynx canadensis,61.895274,-150.074799
Lynx canadensis,62.151128,-145.863875
Lynx canadensis,62.650002,-141.740005
Lynx canadensis,62.650002,-141.75
Lynx canadensis,62.650002,-141.729996
Lynx canadensis,62.650002,-141.699997
Lynx canadensis,62.650002,-141.830002
Lynx canadensis,62.650002,-141.850006
Lynx canadensis,62.650002,-141.869995
Lynx canadensis,62.650002,-141.839996
Lynx canadensis,62.660808,-141.602525
Lynx canadensis,63.1148,-151.192606
Lynx canadensis,63.18039,-151.171875
Lynx canadensis,63.414617,-151.398891
Lynx canadensis,63.444444,-150.716111
Lynx canadensis,63.497713,-150.083328
Lynx canadensis,63.500006,-150.073183
Lynx canadensis,63.527574,-150.920827
Lynx canadensis,63.570244,-149.636841
Lynx canadensis,63.684889,-149.600156
Lynx canadensis,63.710805,-149.521866
Lynx canadensis,63.711703,-149.216068
Lynx canadensis,63.712574,-149.213045
Lynx canadensis,63.715717,-149.516082
Lynx canadensis,63.716665,-149.009031
Lynx canadensis,63.71678,-149.07484
Lynx canadensis,63.723063,-149.084836
Lynx canadensis,63.723832,-148.959203
Lynx canadensis,63.730268,-148.888298
Lynx canadensis,63.732573,-148.904815
Lynx canadensis,63.733958,-148.923594
Lynx canadensis,63.739568,-148.906717
Lynx canadensis,63.754533,-145.911718
Lynx canadensis,63.82322,-148.889565
Lynx canadensis,63.841332,-148.883237
Lynx canadensis,63.869738,-149.021511
Lynx canadensis,64.730003,-156.929993
Lynx canadensis,64.820842,-163.648385
Lynx canadensis,64.884883,-147.778662
Lynx canadensis,64.91986,-147.67713
Lynx canadensis,64.932729,-147.91899
Lynx canadensis,65.050566,-146.089405
Lynx canadensis,65.114412,-164.708033
Lynx canadensis,65.385688,-148.255433
Lynx canadensis,65.669468,-149.165561
Lynx canadensis,65.77137,-149.38015
Lynx canadensis,67.200613,-150.255207
Lynx canadensis,67.255713,-150.16571
Lynx canadensis,67.290261,-142.939314
Lynx canadensis,67.41,-150.1075
Lynx canadensis,67.513219,-150.038572
Lynx canadensis,67.65652,-149.842559
Lynx canadensis,68.033889,-149.66307
Lynx canadensis,68.170738,-149.77973
Lynx canadensis,68.424606,-149.575343
Lynx canadensis,68.490254,-149.489143
Lynx canadensis,68.648227,-148.875149
Lynx canadensis,68.672781,-149.408817
Lynx canadensis,68.674992,-148.863512
