species,x,y
Ursus arctos,-110.235677,44.947322
Ursus arctos,-110.009093,43.774049
Ursus arctos,-149.646983,63.418531
Ursus arctos,-150.141487,63.509282
Ursus arctos,-148.848921,61.432868
Ursus arctos,-148.921124,61.540657
Ursus arctos,-130.244638,55.856305
Ursus arctos,-111.545798,44.210593
Ursus arctos,-110.023436,44.86291
Ursus arctos,-110.528529,44.595784
Ursus arctos,-149.47027,63.60613
Ursus arctos,-110.204561,44.941023
Ursus arctos,-110.343639,44.497356
Ursus arctos,-110.385182,44.427133
Ursus arctos,-150.269941,63.424314
Ursus arctos,-149.623171,63.516786
Ursus arctos,-110.614023,43.305943
Ursus arctos,-130.053406,55.976871
Ursus arctos,-110.610352,44.480831
Ursus arctos,-149.460587,60.185406
Ursus arctos,-150.743301,63.099693
Ursus arctos,-155.791519,58.555035
Ursus arctos,-149.587265,60.198586
Ursus arctos,-135.55864,59.324371
Ursus arctos,-110.105036,43.790344
Ursus arctos,-110.452424,44.791703
Ursus arctos,-110.113633,44.982812
Ursus arctos,-110.424802,44.404977
Ursus arctos,-110.161103,43.730605
Ursus arctos,-110.017953,44.921264
Ursus arctos,-110.064205,44.179089
Ursus arctos,-110.510096,44.594291
Ursus arctos,-110.617768,43.604066
Ursus arctos,-110.488699,44.761216
Ursus arctos,-113.756155,48.740641
Ursus arctos,-110.661619,43.870218
Ursus arctos,-110.400999,44.689272
Ursus arctos,-110.405399,44.442868
Ursus arctos,-110.783398,43.739282
Ursus arctos,-113.692341,48.607374
Ursus arctos,-150.187272,63.457856
Ursus arctos,-149.730861,63.480598
Ursus arctos,-149.948162,63.418178
Ursus arctos,-149.748224,63.571022
Ursus arctos,-110.414294,44.62949
Ursus arctos,-110.245599,44.553073
Ursus arctos,-150.083271,63.554877
Ursus arctos,-110.34533,44.56081
Ursus arctos,-110.156693,44.827899
Ursus arctos,-113.725551,48.794782
Ursus arctos,-113.879728,47.48066
Ursus arctos,-113.926967,47.581688
Ursus arctos,-110.951868,44.580466
Ursus arctos,-110.027816,44.909958
Ursus arctos,-110.617117,44.89908
Ursus arctos,-110.730095,44.967047
Ursus arctos,-149.414243,63.656484
Ursus arctos,-149.757047,61.031969
Ursus arctos,-113.650041,48.710253
Ursus arctos,-146.27224,61.073418
Ursus arctos,-149.698562,63.417843
Ursus arctos,-150.716876,63.273158
Ursus arctos,-110.014431,44.492538
Ursus arctos,-110.279844,44.416428
Ursus arctos,-144.403507,61.5036
Ursus arctos,-113.643976,48.752384
Ursus arctos,-113.796459,48.659612
Ursus arctos,-113.771733,48.649761
Ursus arctos,-110.548332,43.927143
Ursus arctos,-149.418355,59.852868
Ursus arctos,-113.883161,48.148488
Ursus arctos,-113.659549,48.750932
Ursus arctos,-113.71775,47.487916
Ursus arctos,-110.581073,44.833116
Ursus arctos,-110.45806,44.987963
Ursus arctos,-110.524795,44.977399
Ursus arctos,-113.655898,48.687155
Ursus arctos,-110.552343,44.901423
Ursus arctos,-110.593543,44.928598
Ursus arctos,-110.057648,44.414943
Ursus arctos,-110.326699,44.444037
Ursus arctos,-113.658209,48.783933
Ursus arctos,-110.829611,45.195691
Ursus arctos,-149.36427,63.620414
Ursus arctos,-110.436919,44.467426
Ursus arctos,-110.054913,44.594028
Ursus arctos,-149.688644,63.497726
Ursus arctos,-130.05159,55.865678
Ursus arctos,-110.476359,43.905767
Ursus arctos,-110.704501,43.868515
Ursus arctos,-150.651819,63.399736
Ursus arctos,-113.748868,48.814275
Ursus arctos,-110.765862,44.003955
Ursus arctos,-110.669032,43.969715
Ursus arctos,-113.420259,47.190338
Ursus arctos,-110.830167,45.004168
Ursus arctos,-151.070856,63.03832
Ursus arctos,-110.570239,43.938121
Ursus arctos,-110.981123,45.151534
Ursus arctos,-149.572477,63.627583
Ursus arctos,-110.291678,44.897583
Ursus arctos,-110.289277,44.534738
Ursus arctos,-149.795596,63.529656
Ursus arctos,-110.257482,44.492128
Ursus arctos,-110.870861,44.539679
Ursus arctos,-110.047547,44.944477
Ursus arctos,-110.776736,44.684854
Ursus arctos,-110.283574,44.451818
Ursus arctos,-154.352106,58.228093
Ursus arctos,-110.254446,44.542062
Ursus arctos,-110.185228,44.995074
Ursus arctos,-150.707464,63.37472
Ursus arctos,-149.30511,63.728777
Ursus arctos,-110.930385,44.753261
Ursus arctos,-110.710022,44.75743
Ursus arctos,-110.751275,45.160602
Ursus arctos,-110.591805,44.634316
Ursus arctos,-110.650173,43.875753
Ursus arctos,-110.477552,44.545162
Ursus arctos,-113.736805,48.858407
Ursus arctos,-149.524238,63.736548
Ursus arctos,-149.697634,63.400763
Ursus arctos,-113.743267,48.9146
Ursus arctos,-110.684615,44.18634
Ursus arctos,-110.543532,44.647915
Ursus arctos,-110.653748,44.882339
Ursus arctos,-150.052739,62.555868
Ursus arctos,-110.901376,44.52415
Ursus arctos,-149.66652,63.401486
Ursus arctos,-110.405144,44.706067
