species,BIO1,BIO12,x,y
Peromyscus maniculatus,-2.167109637,-1.165593799,-113.3935617,48.46059748
Peromyscus maniculatus,-1.067395907,-0.623852949,-121.4746317,46.91936248
Peromyscus maniculatus,-1.584908251,-0.196626426,-71.78021667,44.17013248
Peromyscus maniculatus,-0.291127392,-0.086516497,-122.9742117,45.50309248
Peromyscus maniculatus,0.873275381,-0.333162737,-122.5576617,38.33843248
Peromyscus maniculatus,-2.274924709,-1.174402593,-113.6434917,48.79383748
Peromyscus maniculatus,-1.045832893,-0.306736354,-68.98933167,44.42006248
Peromyscus maniculatus,0.010754808,-0.156986851,-122.8075917,43.83689248
Peromyscus maniculatus,0.010754808,-0.170200043,-122.4743517,48.71052748
Peromyscus maniculatus,0.161695908,-0.363993517,-122.3077317,45.50309248
Peromyscus maniculatus,0.485141123,0.657826621,-96.52328667,37.54698748
Peromyscus maniculatus,-0.269564378,0.494863927,-81.27755667,41.08766248
Peromyscus maniculatus,-0.636135621,0.186556126,-82.69382667,42.96213748
Peromyscus maniculatus,1.175157581,-0.179008837,-121.8911817,37.83857248
Peromyscus maniculatus,-1.390841122,-0.148178057,-71.40532167,43.83689248
Peromyscus maniculatus,-0.204875335,-0.05128132,-123.2657967,45.54474748
Peromyscus maniculatus,-1.024269879,-0.20543522,-69.53084667,44.42006248
Peromyscus maniculatus,1.843611025,-0.196626426,-116.7676167,32.75666248
Peromyscus maniculatus,0.247947966,0.732701373,-74.52944667,39.50477248
Peromyscus maniculatus,-1.606471265,-0.209839617,-72.03014667,44.54502748
Peromyscus maniculatus,0.075443851,0.825193713,-86.60939667,38.87994748
Peromyscus maniculatus,-0.571446578,0.230600098,-83.73520167,42.25400248
Peromyscus maniculatus,0.11856988,-0.874903587,-112.0189467,40.29621748
Peromyscus maniculatus,-0.204875335,0.39796719,-87.60911667,41.79579748
Peromyscus maniculatus,-0.010808206,-0.17460444,-122.4743517,48.75218248
Peromyscus maniculatus,-0.83020275,-0.179008837,-86.65105167,46.46115748
Peromyscus maniculatus,0.247947966,0.70627499,-77.15371167,38.87994748
Peromyscus maniculatus,0.57139318,-0.046876923,-122.3077317,37.25540248
Peromyscus maniculatus,0.183258923,-0.201030823,-123.4740717,43.25372248
Peromyscus maniculatus,-0.269564378,0.560929884,-82.94375667,40.12959748
Peromyscus maniculatus,-0.873328779,0.129298963,-78.65329167,41.96241748
Peromyscus maniculatus,-0.765513707,-1.11714543,-104.8126317,38.71332748
Peromyscus maniculatus,-2.512117866,-1.288916919,-114.8931417,44.25344248
Peromyscus maniculatus,0.808586338,-0.14377366,-121.9328367,37.00547248
Peromyscus maniculatus,1.843611025,-0.368397915,-117.7673367,33.79803748
Peromyscus maniculatus,-1.261463036,-0.998226707,-119.6001567,38.46339748
Peromyscus maniculatus,-0.506757535,0.345114424,-80.27783667,41.42090248
Peromyscus maniculatus,-0.700824664,-0.011641745,-70.23898167,43.71192748
Peromyscus maniculatus,-0.700824664,-0.099729688,-93.98233167,44.17013248
Peromyscus maniculatus,-0.98114385,-0.209839617,-84.36002667,46.00295248
Peromyscus maniculatus,0.851712366,-0.306736354,-122.6826267,38.58836248
Peromyscus maniculatus,1.692669924,-0.408037489,-110.8942617,31.71528748
Peromyscus maniculatus,1.778921982,-0.500529829,-118.6420917,34.17293248
Peromyscus maniculatus,0.161695908,-0.227457206,-122.0161467,47.71080748
Peromyscus maniculatus,0.226384951,-0.738367275,-119.1836067,37.08878248
Peromyscus maniculatus,1.088905524,-0.016046143,-120.8498067,35.29761748
Peromyscus maniculatus,1.929863082,0.164534141,-117.1425117,32.96493748
Peromyscus maniculatus,0.097006865,-0.377206709,-123.2241417,42.71220748
Peromyscus maniculatus,0.463578109,-0.289118766,-123.8489667,40.75442248
